img name,by-row dist,by-col dist,ratio
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_2left.JPG,855.333,698.250,1.225
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_2right.JPG,855.667,700.000,1.222
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_3left.JPG,855.667,698.250,1.225
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_3right.JPG,853.333,698.250,1.222
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_5left.JPG,1035.667,498.600,2.077
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_5right.JPG,1035.667,497.400,2.082
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_9left.JPG,1035.667,498.600,2.077
C:\Users\Tracking\counting-3\imgs\Charlene\Apr5_9right.JPG,1037.667,498.600,2.081
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_10left.JPG,1046.667,505.400,2.071
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_10right.JPG,1051.000,504.000,2.085
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_2left.JPG,835.667,676.500,1.235
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_2right.JPG,833.333,681.750,1.222
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_3left.JPG,833.333,683.250,1.220
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_3right.JPG,833.333,683.250,1.220
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_9left.JPG,1051.333,505.400,2.080
C:\Users\Tracking\counting-3\imgs\Charlene\Apr7_9right.JPG,1049.000,502.600,2.087
C:\Users\Tracking\counting-3\imgs\Charlene\Mar30_2left.JPG,873.333,716.750,1.218
C:\Users\Tracking\counting-3\imgs\Charlene\Mar30_2right.JPG,875.667,713.500,1.227
C:\Users\Tracking\counting-3\imgs\Charlene\Mar30_3left.JPG,875.333,715.000,1.224
C:\Users\Tracking\counting-3\imgs\Charlene\Mar30_3right.JPG,873.333,715.000,1.221
C:\Users\Tracking\counting-3\imgs\Charlene\Mar31_9left.JPG,1088.667,524.000,2.078
C:\Users\Tracking\counting-3\imgs\Charlene\Mar31_9right.JPG,1086.667,522.800,2.079
